time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/value_loss
148,116736,57,23.53,0.86,786,0.0001,0.041552734375,0.42634225,560,-0.5267980383709073,-0.0025458752468694003,0.003684589,0.2,0.0061324844136834145,0.05018204795196653
151,118784,58,22.15,0.88,785,0.0001,0.0103515625,0.35685843,570,-0.5385505600832403,-0.0007245724074891769,0.001343784,0.2,0.034946851432323456,0.06196931419544853
154,120832,59,22.82,0.86,784,0.0001,0.03330078125,0.4301011,580,-0.5094323631376028,-0.0023123231396311892,0.0070933946,0.2,0.02862217277288437,0.050420359877170993
156,122880,60,21.72,0.78,782,0.0001,0.030517578125,0.42767847,590,-0.515892215911299,-0.0022330442887323445,0.004138276,0.2,0.05344972014427185,0.05518006401835009
159,124928,61,21.51,0.9,781,0.0001,0.032275390625,0.24775672,600,-0.5341964013874531,-0.0013976927679323126,0.005466977,0.2,0.0034034941345453262,0.07851349816191941
162,126976,62,21.34,0.88,780,0.0001,0.001171875,0.50521696,610,-0.5208041097968816,-0.00035575818401412107,0.0007773262,0.2,0.005905863828957081,0.04187561857397668
165,129024,63,21.63,0.88,779,0.0001,0.00751953125,0.33860606,620,-0.5231969198212028,-0.0013271931267809123,0.0035430016,0.2,0.02734304405748844,0.05965622483636253
168,131072,64,21.89,0.92,778,0.0001,0.00068359375,0.4167174,630,-0.5219642028212548,-0.0005454764275782508,0.00087541307,0.2,0.012571722269058228,0.05289007520477753
171,133120,65,20.39,0.92,777,0.0001,0.010107421875,0.50732124,640,-0.5323815343901515,-0.0004505072967731394,0.005426092,0.2,0.049668990075588226,0.04047653657908086
174,135168,66,21.25,0.88,776,0.0001,0.082421875,0.53358203,650,-0.5147012111730873,-0.008296897709078621,0.0099265,0.2,-0.012093814089894295,0.039939932987908836
176,137216,67,21.89,0.82,775,0.0001,0.0169921875,0.46799928,660,-0.49646264081820846,-0.0022583416750421746,0.005702083,0.2,-0.0023102667182683945,0.050568332301918414
179,139264,68,21.8,0.98,774,0.0001,0.003271484375,0.32239634,670,-0.4837466634809971,-0.001388988811231684,0.0010040539,0.2,0.047480508685112,0.06922451794962399
182,141312,69,23.54,0.96,773,0.0001,0.011572265625,0.5886425,680,-0.5089738894253969,-0.001001285894017201,0.0034513474,0.2,0.014432289637625217,0.030030383571283892
185,143360,70,21.24,0.94,773,0.0001,0.042578125,0.4445051,690,-0.5606721852906048,-0.0031387394948978907,0.006596865,0.2,0.0026800502091646194,0.040316977439215404
188,145408,71,20.91,0.94,772,0.0001,0.020556640625,0.519667,700,-0.5724232805892825,-0.001403283925174037,0.003847267,0.2,0.04063963145017624,0.03810431853635236
191,147456,72,21.56,0.8,771,0.0001,0.096630859375,0.51035297,710,-0.5380949581973254,-0.0064871917595155535,0.01056985,0.2,-0.013567774556577206,0.039765873402939175
193,149504,73,20.99,0.96,770,0.0001,0.05009765625,0.26150888,720,-0.5547906887717545,-0.002771019832289312,0.005241792,0.2,0.044206440448760986,0.07380548332002945
196,151552,74,22.25,0.92,769,0.0001,0.027197265625,0.51718086,730,-0.5230446171015501,-0.002271692799695302,0.008986222,0.2,0.03588291257619858,0.03491759177995846
199,153600,75,21.32,0.92,769,0.0001,0.032275390625,0.3376152,740,-0.5335712433792651,-0.001910283100005472,0.0045403624,0.2,0.02874782681465149,0.0537179441715125
202,155648,76,21.57,0.88,768,0.0001,0.04228515625,0.48239613,750,-0.48932338654994967,-0.003864191161119379,0.006671398,0.2,0.01644364558160305,0.042686184047488494
205,157696,77,20.38,0.9,767,0.0001,0.035595703125,0.33211172,760,-0.5150181679986418,-0.0021542058089835336,0.0049987026,0.2,0.01793861761689186,0.0607547813677229
208,159744,78,22.24,0.92,767,0.0001,0.022802734375,0.45763707,770,-0.4606237540021539,-0.0018197537676314824,0.0053104004,0.2,0.03419159725308418,0.047724708821624516
211,161792,79,22.08,0.9,766,0.0001,0.038134765625,0.49375582,780,-0.4968770468607545,-0.0023799187096301467,0.004930954,0.2,0.013531518168747425,0.03994174588588066
213,163840,80,21.69,0.9,765,0.0001,0.0318359375,0.38508707,790,-0.5188337911851704,-0.002181088091310812,0.0018447577,0.2,0.01278990600258112,0.05062002940103412
216,165888,81,21.12,0.94,765,0.0001,0.003759765625,0.50253594,800,-0.4866552075371146,-0.00045731177269772163,0.0046717585,0.2,0.04224967584013939,0.042768320604227486
219,167936,82,21.21,0.86,764,0.0001,0.020751953125,0.5205281,810,-0.49669313253834846,-0.0007452143167029135,0.005035038,0.2,0.034988872706890106,0.039097087527625266
222,169984,83,22.38,0.9,763,0.0001,0.01318359375,0.4392448,820,-0.5118208764120936,-0.0009698934627522249,0.0054924516,0.2,0.018917877227067947,0.05295266920002177
225,172032,84,21.15,0.88,763,0.0001,0.12626953125,0.4922074,830,-0.48789904098957776,-0.011084057293192017,0.010571634,0.2,-0.019498394802212715,0.04528998881578446
228,174080,85,21.4,0.88,762,0.0001,0.013671875,0.44268864,840,-0.4838232876732945,-0.0019434379144513513,0.0025765535,0.2,0.007935207337141037,0.051992444175994024
