rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate
23.66,179,71680,0.7,35,399,-3.413190098106861,0.08876953125,-0.012585654369468102,0.2,0.04701364040374756,0.34912348,0.009580538,0.07027386511908844,340,0.0001
22.94,184,73728,0.78,36,398,-3.2768865428864955,0.044580078125,-0.007526909524312941,0.2,0.03825489059090614,0.39807618,0.0074774087,0.06376891769468784,350,0.0001
22.85,190,75776,0.76,37,398,-3.2002338014543055,0.11181640625,-0.014306523821142036,0.2,0.02698560804128647,0.39041144,0.011141138,0.060247296694433315,360,0.0001
23.99,195,77824,0.62,38,398,-3.1725084118545057,0.073583984375,-0.011052291485975729,0.2,-0.03888282552361488,0.44751406,0.010943131,0.05781062947353348,370,0.0001
22.43,200,79872,0.6,39,398,-3.158882163465023,0.032373046875,-0.006252740294439718,0.2,0.023650798946619034,0.21248794,0.005551424,0.09677686125505716,380,0.0001
22.83,205,81920,0.66,40,397,-3.1341387502849103,0.0814453125,-0.012845343176741153,0.2,0.031029867008328438,0.30007458,0.011042792,0.089963354106294,390,0.0001
22.63,211,83968,0.82,41,397,-3.166501997411251,0.0505859375,-0.00704993666295195,0.2,0.06243797019124031,0.2931788,0.0078041772,0.08079295937204733,400,0.0001
23.83,216,86016,0.86,42,397,-3.1274463556706906,0.044384765625,-0.007036410013097338,0.2,0.009749592281877995,0.4634779,0.006216895,0.05128802229883149,410,0.0001
22.01,221,88064,0.84,43,397,-3.1125828422605992,0.075439453125,-0.01031927455769619,0.2,0.015073960646986961,0.3932956,0.00994819,0.05363167528412305,420,0.0001
21.82,226,90112,0.86,44,397,-3.0537524566054346,0.062060546875,-0.008783777747885324,0.2,0.023423805832862854,0.40460777,0.008260937,0.053959474788280205,430,0.0001
23.6,232,92160,0.9,45,396,-3.0291778586804865,0.064208984375,-0.008340114285965683,0.2,-0.0004522893577814102,0.42986906,0.007964292,0.049759858596371484,440,0.0001
25.54,237,94208,0.88,46,396,-3.048989153653383,0.0349609375,-0.006963831679604482,0.2,-0.025300053879618645,0.4855097,0.007301439,0.04372510926332325,450,0.0001
22.76,242,96256,0.86,47,396,-3.0690852157771586,0.0759765625,-0.008468308563169557,0.2,0.009954964742064476,0.5061445,0.0062468527,0.04094810188398697,460,0.0001
23.85,247,98304,0.9,48,396,-3.0515054166316986,0.04912109375,-0.0069391934157465585,0.2,0.04180753976106644,0.3814789,0.0066865245,0.05511603875784203,470,0.0001
22.95,253,100352,0.86,49,396,-2.991779751330614,0.04970703125,-0.00991782308628899,0.2,0.006675969809293747,0.47423267,0.007997718,0.04238658185640816,480,0.0001
23.53,258,102400,0.9,50,396,-3.036446017771959,0.0203125,-0.0048586556695227046,0.2,0.007836593315005302,0.41737527,0.0054236944,0.05151765936170705,490,0.0001
22.91,263,104448,0.9,51,396,-3.0530366510152818,0.039306640625,-0.007680148484359961,0.2,-0.03251088410615921,0.52641773,0.006877834,0.03853479152894579,500,0.0001
20.79,268,106496,0.92,52,396,-3.003780633956194,0.067919921875,-0.010633693533600308,0.2,0.020499486476182938,0.44697678,0.011222669,0.04754044498549774,510,0.0001
22.93,274,108544,0.8,53,395,-2.9648137226700784,0.0376953125,-0.006544594301522011,0.2,0.000699472613632679,0.50343674,0.00666089,0.040521432826062666,520,0.0001
21.37,279,110592,0.76,54,395,-2.9538021497428417,0.0494140625,-0.009190938467509114,0.2,0.023885317146778107,0.3166989,0.009449098,0.07010898554581217,530,0.0001
23.79,284,112640,0.9,55,395,-2.935645405203104,0.072412109375,-0.00947707612576778,0.2,0.015028811991214752,0.31673092,0.01136893,0.07074449649080634,540,0.0001
22.86,289,114688,0.9,56,395,-2.9821740545332434,0.0513671875,-0.009530115335655865,0.2,0.022470824420452118,0.4222815,0.0064565623,0.045092906284844504,550,0.0001
23.32,295,116736,0.84,57,395,-2.9511070378124713,0.04365234375,-0.006624898740847129,0.2,-0.020129837095737457,0.5184113,0.006142263,0.040384382131742315,560,0.0001
22.12,300,118784,0.84,58,395,-2.953799093514681,0.045068359375,-0.00905406773017603,0.2,0.026544898748397827,0.3745287,0.009347748,0.05861269672168419,570,0.0001
22.8,305,120832,0.86,59,395,-2.893559371680021,0.061669921875,-0.009519642676605145,0.2,-0.002741199918091297,0.41068113,0.0072985496,0.05137263090000488,580,0.0001
22.69,310,122880,0.88,60,395,-2.868248226493597,0.042578125,-0.009278150706086308,0.2,0.027325119823217392,0.32282227,0.0077551613,0.058020231412956494,590,0.0001
21.81,316,124928,0.9,61,395,-2.8321482844650747,0.063427734375,-0.01155526351503795,0.2,0.014953321777284145,0.3764732,0.010179732,0.05383381913998164,600,0.0001
22.43,321,126976,0.94,62,395,-2.762479054182768,0.0486328125,-0.006918370637868066,0.2,-0.004460323601961136,0.45980084,0.006985036,0.04678767251898534,610,0.0001
23.33,326,129024,0.94,63,394,-2.7767639622092246,0.04541015625,-0.0071052349681849595,0.2,0.048953887075185776,0.50801206,0.0063652745,0.03947271367069334,620,0.0001
22.41,331,131072,0.8,64,394,-2.83200713917613,0.042822265625,-0.008267416879243683,0.2,0.03453578054904938,0.47455448,0.0058434904,0.039408489537891,630,0.0001
22.54,337,133120,0.84,65,394,-2.893333572894335,0.034521484375,-0.005888744614640018,0.2,0.02278090827167034,0.26246583,0.005425785,0.07318747523822822,640,0.0001
21.3,342,135168,0.84,66,394,-2.875773970782757,0.0244140625,-0.006085703930875752,0.2,0.03647025674581528,0.2905352,0.007855046,0.06454931045882403,650,0.0001
21.68,347,137216,0.9,67,394,-2.878032736480236,0.040869140625,-0.007863685411575717,0.2,0.03574705496430397,0.3971904,0.00813754,0.05254738864605315,660,0.0001
22.36,353,139264,0.92,68,394,-2.886036067456007,0.057080078125,-0.009334492492052959,0.2,-0.012885617092251778,0.45223212,0.008069878,0.04803743890952319,670,0.0001
22.89,358,141312,0.96,69,394,-2.9246689558029173,0.040380859375,-0.009643690280790906,0.2,0.007818516343832016,0.45832473,0.005742103,0.039997201651567595,680,0.0001
22.43,363,143360,0.94,70,394,-2.8637468330562115,0.050830078125,-0.009415536537562729,0.2,-0.017722269520163536,0.554491,0.0059874705,0.03051450756320264,690,0.0001
21.04,368,145408,0.78,71,394,-2.8120264440774916,0.04599609375,-0.008270388343225932,0.2,-0.010125664994120598,0.50012565,0.008735554,0.03877923998516053,700,0.0001
21.84,374,147456,0.9,72,394,-2.8627160266041756,0.07685546875,-0.00960528480791254,0.2,0.03330983966588974,0.32903045,0.007919055,0.07041389910737053,710,0.0001
22.45,379,149504,0.92,73,394,-2.8765804335474967,0.04140625,-0.005912292150605935,0.2,-0.0019822344183921814,0.4149716,0.0043772953,0.049365721072535965,720,0.0001
21.2,384,151552,0.9,74,393,-2.911036658287048,0.043798828125,-0.009122971998294815,0.2,0.010685542598366737,0.45860577,0.00769453,0.04025110331131145,730,0.0001
20.38,389,153600,0.92,75,393,-2.902778411656618,0.093701171875,-0.012269011604075786,0.2,-0.004210334271192551,0.4118209,0.012321377,0.05051054438226856,740,0.0001
22.44,395,155648,0.9,76,393,-2.897520710527897,0.05185546875,-0.00824668752247817,0.2,-0.0045425910502672195,0.4282794,0.006906957,0.04654035326675512,750,0.0001
21.5,400,157696,0.88,77,393,-2.86287584900856,0.037646484375,-0.008055169614090118,0.2,0.018130043521523476,0.38348454,0.00660651,0.0491582453949377,760,0.0001
22.87,405,159744,0.92,78,393,-2.856895573437214,0.018359375,-0.005191780329914764,0.2,-0.01624288596212864,0.36521077,0.0061235493,0.05031054750434123,770,0.0001
22.13,411,161792,0.94,79,393,-2.896037995815277,0.056396484375,-0.009072834145626985,0.2,0.011796541512012482,0.3791734,0.0076390505,0.046995288523612545,780,0.0001
21.99,416,163840,0.92,80,393,-2.9062004715204237,0.08369140625,-0.012291583175829146,0.2,-0.02709915116429329,0.48543948,0.008506069,0.038544622890185565,790,0.0001
22.97,421,165888,0.86,81,393,-2.9421970710158347,0.055517578125,-0.010976911296893377,0.2,0.010336189530789852,0.40114474,0.00762311,0.04630958841007669,800,0.0001
22.34,426,167936,0.84,82,393,-2.926486025750637,0.06630859375,-0.012029597096989164,0.2,0.012954682111740112,0.36369818,0.009928848,0.05935351007501595,810,0.0001
22.4,432,169984,0.96,83,393,-2.9568555518984794,0.06943359375,-0.012695462076226249,0.2,-0.010468615218997002,0.2098099,0.009826906,0.07201296464772895,820,0.0001
21.15,437,172032,0.82,84,393,-2.9463915169239043,0.049169921875,-0.008429298701230437,0.2,0.009699857793748379,0.51954716,0.0072326483,0.03416952587431297,830,0.0001
21.3,442,174080,0.92,85,393,-2.9403112687170507,0.034716796875,-0.007206239277729764,0.2,0.028554392978549004,0.40439665,0.0076261903,0.05898103118524887,840,0.0001
22.02,447,176128,0.94,86,393,-2.9457454718649387,0.0603515625,-0.010381831487757153,0.2,0.009584147483110428,0.42603707,0.0065692086,0.04267869361792691,850,0.0001
21.28,453,178176,0.82,87,393,-2.9240972265601157,0.041650390625,-0.009455010043166113,0.2,-0.01899895630776882,0.5496221,0.008449892,0.030834299040725453,860,0.0001
21.53,458,180224,0.86,88,392,-2.9188996337354185,0.015673828125,-0.004157552931428654,0.2,0.019545402377843857,0.3247174,0.0053728363,0.06660181601182558,870,0.0001
21.92,463,182272,0.96,89,392,-2.9619878396391868,0.064599609375,-0.011454977072571638,0.2,-0.0046014562249183655,0.44046903,0.008621036,0.04747989304596558,880,0.0001
21.16,469,184320,0.92,90,392,-2.9790400587022305,0.04970703125,-0.007342874053574633,0.2,-0.0019153906032443047,0.60313034,0.0062961206,0.030367458882392385,890,0.0001
20.93,474,186368,0.96,91,392,-2.9948824740946294,0.0404296875,-0.006314559512247797,0.2,0.023573625832796097,0.44966948,0.0071226116,0.04482075245468877,900,0.0001
21.93,479,188416,0.88,92,392,-2.9998091593384744,0.034619140625,-0.006595792966254521,0.2,-0.025084618479013443,0.619923,0.0056727277,0.0274300006829435,910,0.0001
22.7,484,190464,0.9,93,392,-3.0196099631488322,0.06806640625,-0.013012955651356605,0.2,0.014975037425756454,0.3591305,0.00843558,0.05524370021885261,920,0.0001
22.54,490,192512,0.9,94,392,-3.0050007782876493,0.070703125,-0.014630603564728516,0.2,0.010413002222776413,0.31638622,0.009233732,0.055754532862920314,930,0.0001
20.02,495,194560,0.82,95,392,-2.990050243586302,0.042822265625,-0.007529141061240807,0.2,-0.012841828167438507,0.44995165,0.0064810943,0.04583052652888,940,0.0001
21.95,500,196608,0.96,96,392,-2.9699507907032965,0.088330078125,-0.010756151246459922,0.2,0.01950688473880291,0.35454905,0.009197762,0.06561739831813611,950,0.0001
22.17,506,198656,0.84,97,392,-2.9248753361403943,0.0533203125,-0.009651242969266605,0.2,0.013195229694247246,0.4768167,0.007925354,0.03638753569975961,960,0.0001
