time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/value_loss
227,229376,112,22.03,0.98,1007,0.0001,0.044482421875,0.3168713,1110,-2.0575350180268286,-0.0054829429049277675,0.0057543847,0.2,0.04288382828235626,0.06022458664956502
229,231424,113,20.67,0.9,1007,0.0001,0.054638671875,0.615896,1120,-2.0754983432590963,-0.011325417505577206,0.008888634,0.2,-0.011782865040004253,0.023413688549771904
231,233472,114,20.52,0.92,1007,0.0001,0.057568359375,0.3145172,1130,-2.01683168374002,-0.010133311188837979,0.0085497685,0.2,0.002870965749025345,0.056341517437249425
233,235520,115,21.27,0.92,1007,0.0001,0.05576171875,0.41306084,1140,-1.9281941138207912,-0.008649859913566616,0.006929648,0.2,-0.0211138017475605,0.046412748855073
235,237568,116,21.46,0.94,1006,0.0001,0.05185546875,0.40436655,1150,-1.9320880606770516,-0.008855209837201982,0.0066518467,0.2,0.02812565490603447,0.04891103060217574
238,239616,117,19.89,0.92,1006,0.0001,0.028271484375,0.48949146,1160,-1.9291601572185755,-0.005664296909526456,0.0057369564,0.2,0.01556309126317501,0.03942101855063811
240,241664,118,20.08,0.98,1006,0.0001,0.057666015625,0.4426216,1170,-1.933187958225608,-0.010441884291503811,0.0060282066,0.2,-0.010906112380325794,0.04623204669042025
242,243712,119,19.89,0.86,1006,0.0001,0.049365234375,0.68103504,1180,-1.8903340131044388,-0.008600025859777816,0.008489256,0.2,0.022893596440553665,0.022868555373861454
244,245760,120,20.67,0.94,1006,0.0001,0.04501953125,0.35210508,1190,-1.9024070385843515,-0.004943553194607375,0.0061935396,0.2,-0.001563921570777893,0.05908037829212844
246,247808,121,21.11,0.92,1006,0.0001,0.067822265625,0.33372498,1200,-1.9088618353009223,-0.008541164667985868,0.007327562,0.2,0.01685725711286068,0.04367216628161259
248,249856,122,19.95,0.92,1006,0.0001,0.05947265625,0.34298247,1210,-1.9315973788499832,-0.008859373753512045,0.0077130944,0.2,0.029421493411064148,0.0512496710580308
250,251904,123,20.34,0.92,1006,0.0001,0.047802734375,0.33144546,1220,-1.9074227545410394,-0.006898418717901223,0.0065442873,0.2,0.0010522883385419846,0.0513542061264161
252,253952,124,20.59,0.98,1006,0.0001,0.049951171875,0.44632757,1230,-1.9200320456176996,-0.00844131281155569,0.005993522,0.2,-0.001786932349205017,0.046139602269977334
254,256000,125,19.08,0.96,1006,0.0001,0.052978515625,0.5662118,1240,-1.903903017938137,-0.009213431920215953,0.00593153,0.2,-0.014005618169903755,0.029285721699125133
256,258048,126,19.13,0.96,1006,0.0001,0.066455078125,0.58786047,1250,-1.8855702824890614,-0.010161677148425951,0.0064071724,0.2,-0.012884304858744144,0.031029225361999126
258,260096,127,18.42,0.92,1006,0.0001,0.05712890625,0.5192385,1260,-1.8189251273870468,-0.008693433813459706,0.008948199,0.2,0.001851600594818592,0.03478342965245247
260,262144,128,19.41,0.9,1006,0.0001,0.07216796875,0.45390052,1270,-1.7911155965179204,-0.008741565763193649,0.008496062,0.2,0.01225024089217186,0.04459114648634568
262,264192,129,18.84,0.86,1006,0.0001,0.04677734375,0.35532665,1280,-1.7866454385221004,-0.00769137413444696,0.005895951,0.2,0.01960558071732521,0.051448307238752024
264,266240,130,19.97,0.98,1006,0.0001,0.045166015625,0.34276718,1290,-1.7974673055112362,-0.007212549641553778,0.005512683,0.2,-0.0019498756155371666,0.06149363970034756
266,268288,131,20.0,0.9,1006,0.0001,0.049951171875,0.578215,1300,-1.8481793045997619,-0.00784880994760897,0.0073340125,0.2,0.0006003566086292267,0.029497747347340918
