rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates,train/learning_rate
22.5,144,104448,0.92,51,723,-0.520386085100472,0.035791015625,-0.0017688073930912651,0.2,0.0358022004365921,0.3903858,0.0048890123,0.05380695427302271,500,0.0001
22.03,147,106496,0.96,52,723,-0.5054520217701792,0.0119140625,-0.0011746545707865153,0.2,0.028462547808885574,0.43013287,0.0011107372,0.048671264143195,510,0.0001
23.15,149,108544,0.9,53,723,-0.48105377368628977,0.037158203125,-0.003015408965438837,0.2,0.014360366389155388,0.5840973,0.0055602086,0.03082954316341784,520,0.0001
22.39,152,110592,0.94,54,723,-0.49303581630811094,0.0283203125,-0.0017076368429115973,0.2,0.027094166725873947,0.38508296,0.0022031548,0.05306226186221465,530,0.0001
20.61,155,112640,0.9,55,722,-0.4833168934099376,0.001318359375,-5.957095308986027e-05,0.2,0.00742708332836628,0.5446453,0.00027362193,0.0365155735227745,540,0.0001
22.95,158,114688,0.88,56,721,-0.4814430257305503,0.0046875,-0.00041304959668195804,0.2,0.02041686326265335,0.5234009,0.0055276435,0.04287831225374248,550,0.0001
22.36,161,116736,0.84,57,721,-0.49848070470616224,0.05927734375,-0.003893346703262068,0.2,0.01727422885596752,0.5163492,0.0037885536,0.04350698555354029,560,0.0001
21.3,164,118784,0.94,58,720,-0.5026220656000078,0.00322265625,8.515404369973112e-05,0.2,0.019767923280596733,0.38875365,0.0016059098,0.059873860923107716,570,0.0001
21.08,167,120832,0.9,59,720,-0.5539068753831089,0.0189453125,-0.0009504826390184462,0.2,0.003929397091269493,0.5376142,0.005760371,0.03755397662171163,580,0.0001
22.44,170,122880,0.86,60,719,-0.5365352272056043,0.026611328125,-0.002439367342594778,0.2,0.033214032649993896,0.4927917,0.008900791,0.046179768064757806,590,0.0001
21.34,173,124928,0.94,61,719,-0.5531456839293242,0.03837890625,-0.001763278850557981,0.2,0.006774554029107094,0.3354206,0.004894524,0.06268122861511075,600,0.0001
21.65,176,126976,0.98,62,719,-0.5124583437107504,0.081396484375,-0.0059278985543642195,0.2,-0.010920420289039612,0.56365895,0.0087523,0.033117684710305184,610,0.0001
22.41,179,129024,0.82,63,718,-0.5187971914187074,0.03310546875,-0.003782095541828312,0.2,0.007340963929891586,0.63459873,0.004737569,0.027049587774672545,620,0.0001
20.27,182,131072,0.94,64,718,-0.5349283755756915,0.035498046875,-0.0015360175704699941,0.2,0.034115564078092575,0.39752018,0.0062072184,0.059297225653426724,630,0.0001
21.29,185,133120,0.96,65,718,-0.5059962668456137,0.084326171875,-0.007002879017818486,0.2,-0.009204722009599209,0.5438097,0.009251298,0.0379852247366216,640,0.0001
24.66,188,135168,0.94,66,718,-0.49789002947509287,0.004052734375,-0.00015422790675074794,0.2,0.04349258914589882,0.5794884,0.0006606539,0.03221774297417142,650,0.0001
21.88,191,137216,0.86,67,717,-0.5436645150184631,0.062255859375,-0.0043248843852779825,0.2,0.0187566839158535,0.34972632,0.010812743,0.048236477730097246,660,0.0001
20.09,194,139264,0.96,68,717,-0.5229416524060071,0.00927734375,-0.000847005716059357,0.2,0.04047950357198715,0.37891656,0.0013882786,0.05680502881295979,670,0.0001
23.03,197,141312,0.94,69,717,-0.48714982168748977,0.108837890625,-0.009491603873902932,0.2,-0.00447540357708931,0.57300436,0.008962907,0.032071707796421836,680,0.0001
21.69,199,143360,0.86,70,716,-0.5185901809483766,0.0447265625,-0.0024074278626358137,0.2,0.06332200765609741,0.4523005,0.0054284018,0.04322364291292615,690,0.0001
21.87,202,145408,0.86,71,716,-0.5074687108397484,0.001025390625,-0.0005199278180953115,0.2,0.022366497665643692,0.33447832,0.0012101573,0.0627246966585517,700,0.0001
23.24,205,147456,0.92,72,716,-0.4860093460418284,0.00908203125,-0.0006427145970519632,0.2,0.022220127284526825,0.4054557,0.0068031605,0.05525728290085681,710,0.0001
22.68,208,149504,0.88,73,715,-0.4908452741801739,0.01591796875,-0.0011458307424618396,0.2,0.010435220785439014,0.48356485,0.003389256,0.04102463537128642,720,0.0001
21.56,211,151552,0.96,74,715,-0.4927214665338397,0.01064453125,-0.0011046924704714912,0.2,0.0445229634642601,0.49248683,0.0015574255,0.043599550664657725,730,0.0001
21.06,214,153600,0.86,75,715,-0.533125433884561,0.05849609375,-0.004533658573927823,0.2,0.007552251219749451,0.5418333,0.006460121,0.03496559833874926,740,0.0001
22.39,217,155648,0.92,76,715,-0.5459135137498379,0.01298828125,-0.0010956977392197586,0.2,0.05506346374750137,0.462489,0.0076941885,0.050352052645757796,750,0.0001
22.02,220,157696,0.84,77,715,-0.5340912733227015,0.163916015625,-0.013672177234548144,0.2,0.034019481390714645,0.54220986,0.012650792,0.03724241062591318,760,0.0001
20.52,223,159744,0.94,78,714,-0.5098250709474087,0.012939453125,-0.0014946584087738302,0.2,0.016192620620131493,0.47609437,0.0014467267,0.049996445604483596,770,0.0001
21.03,226,161792,0.84,79,714,-0.5222542300820351,0.00244140625,-0.0002120407378242817,0.2,0.0162922702729702,0.5156416,0.0034610152,0.03990717699925881,780,0.0001
21.17,229,163840,0.94,80,714,-0.4999185087159276,0.004833984375,-0.00011201678207726218,0.2,0.01453961618244648,0.33970737,0.00025727067,0.06612721219426021,790,0.0001
23.09,232,165888,0.92,81,714,-0.48526216130703687,0.00673828125,-0.0008035449762246571,0.2,-0.004258358851075172,0.5148039,0.0027920506,0.038279313669772816,800,0.0001
20.55,234,167936,0.92,82,714,-0.5144065903499723,0.047705078125,-0.002959345951967407,0.2,0.008739962242543697,0.46446157,0.0050689727,0.042703854726278224,810,0.0001
22.81,237,169984,0.84,83,714,-0.4717388122342527,0.04482421875,-0.0033581400777620727,0.2,0.046003710478544235,0.49340028,0.0072994884,0.04335200225468725,820,0.0001
22.84,240,172032,0.98,84,714,-0.5219851061701775,0.0603515625,-0.004269625278539024,0.2,0.030937571078538895,0.33999437,0.006411412,0.06050477190874517,830,0.0001
23.22,243,174080,0.86,85,714,-0.4793235042132437,0.047900390625,-0.0040612610406242314,0.2,-0.013958493247628212,0.5876883,0.007940052,0.029057284721056932,840,0.0001
21.21,246,176128,0.98,86,714,-0.5095030317083001,0.04580078125,-0.0029827853097231126,0.2,0.014278030022978783,0.2973504,0.0041498113,0.0643913364270702,850,0.0001
23.23,249,178176,0.88,87,714,-0.4855603497475386,0.02890625,-0.0018534157949034124,0.2,0.014398667961359024,0.59853065,0.0020226897,0.02750315210723784,860,0.0001
21.47,252,180224,0.86,88,714,-0.5104972520843148,0.0236328125,-0.0011053598507714923,0.2,0.0463302880525589,0.38634688,0.0049201045,0.05161603784072213,870,0.0001
22.62,254,182272,0.88,89,715,-0.48873950019478796,0.01083984375,-0.0013862172197150358,0.2,0.035162393003702164,0.44965392,0.006838156,0.05375827188254334,880,0.0001
